hex_id,F1,F2,F3,F4,F5,class_km
88099a24b5fffff,-1.0269137960518564,3.3710017695380765,0.9431801470435303,0.04097821217788769,1.5575254719843445,4
88099a24b7fffff,-1.4028373893715678,2.803526247897521,1.0235369578863858,0.3676062702553359,1.6762665091326385,4
88099a24b9fffff,-1.677938620954048,3.4245121432683012,0.9003500525599767,0.14973938654448862,1.8776137634200127,4
88099a24bbfffff,-1.5226748105750745,2.883099172260318,0.9756454992249166,0.4739308406034586,1.150328847644117,4
88099a24bdfffff,-1.2747348501732687,3.4597964167273423,0.4466860494066769,0.4629869084328765,2.0964510215071335,4
88099a24c1fffff,1.4450144588788123,1.8107737228433323,-1.5392252224574303,1.521682397044598,1.0765479134701073,0
88099a24c5fffff,2.3769123114441326,2.7458501117757024,-0.8238721309568547,0.12418718966799025,0.8760487879000614,3
88099a24c7fffff,2.831943358457299,1.6261759022126676,-1.3517433908653345,-0.4323515549577177,0.7339043979395574,3
88099a24c9fffff,0.9058707052089576,1.6291216273768874,-1.281851168493072,1.5433744276432542,1.2333558430394111,0
88099a24cdfffff,1.8949945807755022,1.5886719253072246,-1.048808142529066,1.1202230878562909,1.5488403489083886,3
88099a24d3fffff,0.16583539534488018,1.3836473905234161,0.7295364516534206,0.14916062093886218,0.7602455430490243,0
88099a24d7fffff,0.589699348374508,2.5368036981715623,-0.3363262018742549,-0.197642274493388,1.3328847523211018,4
88099a24d9fffff,-0.11127420690809692,-0.3498540056590756,1.187160103071042,2.2048274905079497,0.42109664827893345,7
88099a24dbfffff,0.14650492981206611,-0.6619392740341926,1.9335996729724811,1.2785230207706895,0.2965025760632194,7
88099a24e1fffff,0.33856636803781326,1.2233319452980291,7.195116410406836,-1.6470971957560918,3.3652327543655454,6
88099a24e3fffff,2.649687458636785,1.9626492901627888,1.5656750739071155,-2.8970989294794838,3.625026889349231,4
88099a24e5fffff,0.8803451601230101,0.02272677520560018,7.908925932114488,-1.259870176966273,2.7509176463308336,6
88099a24e7fffff,1.835963031268136,0.5264542205094258,5.901947174102023,-2.1551036335600604,2.978074967016023,6
88099a24e9fffff,2.2769746643861923,2.148391966011027,2.5912306818404236,-1.4398120714255738,1.982611399434329,4
88099a24ebfffff,1.7452027282942078,2.7863417465115545,1.8764277507617568,-1.3462060768917552,2.7408402124672024,4
88099a24edfffff,0.6461805323212784,-0.30116479120972106,8.392538012604632,-0.5603974426641054,2.8601612658310436,6
88099a2505fffff,0.8072655866909175,-0.06878380845474341,-0.2797251647233444,1.3879460190437012,-0.3692992521844898,7
88099a2507fffff,1.105954250684001,-0.08080878094423766,-0.3841787923229931,1.4489596843541295,-0.5370500071477897,7
88099a2513fffff,5.264290884110525,-1.7416917555215659,-1.3137803173580072,1.1377403850532541,-0.18780134361507816,3
88099a2517fffff,2.4106550698441573,-0.5528699230002139,-0.9353264308136864,1.3584517890700911,0.15375597083108272,3
88099a2519fffff,4.269553806695932,-0.9873358673602837,-1.5771932077258368,1.2673756695665268,-0.19650289354904238,3
88099a251dfffff,3.31591817581263,-1.1229609205702116,-1.1738700319784634,1.6501039718418198,-0.12508034758878617,3
88099a2521fffff,0.28571691987112513,0.0026826260600700813,0.0031178785568044542,1.8325923588330597,-0.1632597743920764,7
88099a2523fffff,0.7152257927759479,0.14174781568413708,-0.08850687801120127,1.2722798074315889,-0.6232758832925753,7
